Year,Mounth,Value,Anomaly
2019,01,58.9,1.2
2019,02,63.2,1.0
2019,03,67.2,-2.2
2019,04,78.2,0.4
2019,05,82.9,-1.8
2019,06,90.8,-0.8
2019,07,94.8,0.4
2019,08,98.3,4.1
2019,09,93.1,5.1
2019,10,78.3,-0.6
2019,11,65.9,-1.3
2019,12,64.4,5.4
2020,01,62.8,5.1
2020,02,61.5,-0.7
2020,03,73.9,4.5
2020,04,78.2,0.4
2020,05,87.7,3.0
2020,06,92.9,1.3
2020,07,97.0,2.6
2020,08,97.5,3.3
2020,09,85.6,-2.4
2020,10,79.9,1.0
2020,11,74.2,7.0
2020,12,62.6,3.6
2021,01,58.9,1.2
2021,02,56.0,-6.2
2021,03,72.8,3.4
2021,04,76.1,-1.7
2021,05,82.4,-2.3
2021,06,91.2,-0.4
2021,07,91.2,-3.2
2021,08,92.8,-1.4
2021,09,91.6,3.6
2021,10,83.2,4.3
2021,11,70.8,3.6
2021,12,72.2,13.2
2022,01,60.2,2.5
2022,02,60.0,-2.2
2022,03,72.5,3.1
2022,04,82.6,4.8
2022,05,91.3,6.6
2022,06,96.4,4.8
2022,07,100.0,5.6
2022,08,94.4,0.2
2022,09,90.3,2.3
2022,10,79.7,0.8
2022,11,64.7,-2.5
2022,12,61.1,2.1
